QuerySId;SessionSId;UserSId;NoP;NoS;NoA;NoT;NoAtt;NCP;NCS;NCA;NCT;NCAtt;zNoP;zNoS;zNoA;zNoT;zNoAtt;zNCP;zNCF;zNCA;zNCT;zNCAtt;RED;Edit index;Jaccard index;Cosine index;Common fragments index;Common tables index;Vote;ExplorationSId;GroundTruth;ChangeSession
407;9;3;3;2;1;3;7;3;2;1;3;7;-0.548186571;-0.482180492;-0.575946454;-0.281161332;-0.391591016;-0.116442845;-0.442326484;-0.249101305;0.027568961;-0.0421322;0;1;1;1;0.9;0.6;0;10;0;0
408;9;3;3;2;1;3;7;3;2;1;3;7;-0.548186571;-0.482180492;-0.575946454;-0.281161332;-0.391591016;-0.116442845;-0.442326484;-0.249101305;0.027568961;-0.0421322;0;1;1;1;0.9;0.6;0;10;0;0
409;9;3;3;2;1;3;7;2;2;0;3;6;-0.548186571;-0.482180492;-0.575946454;-0.281161332;-0.391591016;-0.827953997;-0.442326484;-1.705028807;0.027568961;-0.327358099;4;0.6;0.636363636363636;0.97913004865233;0.7;0.6;1;10;0;0
410;9;3;3;2;1;3;7;2;2;0;3;6;-0.548186571;-0.482180492;-0.575946454;-0.281161332;-0.391591016;-0.827953997;-0.442326484;-1.705028807;0.027568961;-0.327358099;4;0.6;0.636363636363636;1;0.7;0.6;1;10;0;0
411;9;3;3;2;1;3;7;2;2;0;3;6;-0.548186571;-0.482180492;-0.575946454;-0.281161332;-0.391591016;-0.827953997;-0.442326484;-1.705028807;0.027568961;-0.327358099;4;0.6;0.636363636363636;1;0.7;0.6;1;10;0;0
412;9;3;4;2;2;3;8;3;2;1;3;7;0.332092548;-0.482180492;1.107176568;-0.281161332;-0.060812608;-0.116442845;-0.442326484;-0.249101305;0.027568961;-0.0421322;2;0.8;0.818181818181818;0.971927392937794;0.9;0.6;0;10;0;0
413;9;3;3;2;1;3;7;3;2;1;3;7;-0.548186571;-0.482180492;-0.575946454;-0.281161332;-0.391591016;-0.116442845;-0.442326484;-0.249101305;0.027568961;-0.0421322;2;0.8;0.818181818181818;0.985138007798876;0.9;0.6;0;10;0;0
414;9;3;3;2;1;3;7;2;2;0;3;6;-0.548186571;-0.482180492;-0.575946454;-0.281161332;-0.391591016;-0.827953997;-0.442326484;-1.705028807;0.027568961;-0.327358099;4;0.6;0.636363636363636;0.97913004865233;0.7;0.6;1;10;0;0
415;9;3;3;2;1;3;7;2;2;0;3;6;-0.548186571;-0.482180492;-0.575946454;-0.281161332;-0.391591016;-0.827953997;-0.442326484;-1.705028807;0.027568961;-0.327358099;4;0.6;0.636363636363636;1;0.7;0.6;1;10;0;0
416;9;3;4;2;2;3;8;3;2;1;3;7;0.332092548;-0.482180492;1.107176568;-0.281161332;-0.060812608;-0.116442845;-0.442326484;-0.249101305;0.027568961;-0.0421322;2;0.8;0.818181818181818;0.971927392937794;0.9;0.6;0;10;0;0
